NIT,ciiu,TOTAL ACTIVO CORRIENTE,TOTAL ACTIVO,TOTAL PASIVO CORRIENTE,TOTAL PASIVO,TOTAL PATRIMONIO,UTILIDAD,INTERESES,Ingresos,Tamaño Empresarial
830070987,G4520 - Mantenimiento y reparación de vehículos automotores,21514191000,27259979000,2611588000,11627371000,15632608000,6611303000,1444764000,15787275000,Mediana empresa
830072826,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",8547023000,9558963000,3025919000,3061778000,6497185000,4323364000,463316000,15364797000,Pequeña empresa
830072915,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",21843897000,22496195000,13176619000,13176619000,9319576000,8060406000,1416711000,37374244000,Mediana empresa
830074094,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",10139766000,11749115000,1232590000,1232590000,10516525000,1585459000,0,3240285000,Pequeña empresa
830074502,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",506335000,4022474000,1610443000,1929417000,2093057000,378931000,0,760407000,Microempresa
830082138,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",4226017000,7233451000,3959031000,3959031000,3274420000,1969847000,401830000,7178546000,Pequeña empresa
830082618,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",3995963000,4140055000,2205787000,2887819000,1252236000,452284000,0,2444782000,Pequeña empresa
830084499,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",1172080000,1431239000,867637000,867637000,563602000,760256000,0,2396719000,Pequeña empresa
830084544,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",32203174000,34738100000,21079070000,26838723000,7899377000,19948986000,0,60363207000,Mediana empresa
830089701,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",1065002000,1070358000,268357000,268357000,802001000,448104000,0,1276934000,Microempresa
830090620,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",1488358000,1514143000,288547000,680349000,833794000,759825000,0,2117487000,Pequeña empresa
830092353,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",6206173000,7770631000,3370008000,5584511000,2186120000,3719008000,0,10913730000,Pequeña empresa
830093991,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",7194362000,11475840000,2421659000,2421659000,9054181000,2278973000,0,5907317000,Pequeña empresa
830100315,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",2098120000,2180324000,1198594000,1198594000,981730000,1272031000,57157000,5154843000,Pequeña empresa
830101506,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",1063859000,1454437000,1031716000,1116365000,338072000,1277330000,0,4202640000,Pequeña empresa
830104395,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",3797420000,4180476000,33837000,33837000,4146639000,44249000,762000,72278000,Microempresa
830104769,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",9835917000,12748550000,4322778000,4322778000,8425772000,4071787000,74168000,14044436000,Pequeña empresa
830105965,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",2922186000,3263043000,1183298000,1285971000,1977072000,2656990000,33301000,8037798000,Pequeña empresa
830106854,G4520 - Mantenimiento y reparación de vehículos automotores,28553916000,28809007000,3126913000,7126913000,21682094000,13130430000,500829000,39671295000,Gran empresa
830110726,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",4687410000,4813383000,2918366000,3041008000,1772375000,221295000,0,491330000,Microempresa
830115250,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",36664702000,41772348000,16862847000,20318832000,21453516000,21719569000,0,69726428000,Mediana empresa
830119312,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",2062862000,2062862000,780803000,780803000,1282059000,378063000,0,1833923000,Pequeña empresa
830120148,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",2414312000,2416301000,572389000,572389000,1843912000,946125000,0,3118915000,Pequeña empresa
830124236,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",29216310000,34395204000,29700893000,29896893000,4498311000,18141795000,3209217000,52354582000,Mediana empresa
830128967,G4520 - Mantenimiento y reparación de vehículos automotores,880934000,3271010000,831902000,831902000,2439108000,425508000,23095000,748492000,Microempresa
