No,Liquidez,Nivel_Endeudamiento,Razón-Cobertura_de_intereses,Rentabilidad del Patrimonio,Rentabilidad del Activo,Capital_de_Trabajo,%K
272,3.542007528,0.275128447,10,83%,0.599918992," 1,016,409,000.00 ",3.38803
273,0.346085462,0.622310441,10,21%,0.07897163," (2,217,366,000.00)",-7.39122
274,3.320457069,0.299928441,6.12717093,77%,0.536951972," 4,146,137,000.00 ",13.82045667
275,1.222965987,0.771434453,1.910984975,151%,0.344697186," 1,767,970,000.00 ",5.893233333
276,2.48453279,0.285211529,10,16%,0.113917558," 2,631,082,000.00 ",8.770273333
277,4.155213353,0.054976765,9.210972851,0%,0.001095653," 1,265,026,000.00 ",4.216753333
278,3.96033303,0.246834958,10,32%,0.241369155," 6,046,720,000.00 ",20.15573333
279,9.692520461,0.08968721,51.66181616,7%,0.067046411," 8,736,522,000.00 ",29.12174
280,1.527168079,0.606154149,31.36891723,156%,0.614900367," 1,058,243,000.00 ",3.527476667
281,3.559921268,0.280635436,18.03792338,34%,0.244968165," 1,096,381,000.00 ",3.654603333
282,3.399102663,0.203916627,10,46%,0.368226159," 3,544,631,000.00 ",11.81543667
283,1.954168292,0.513184692,7.849804295,65%,0.316975968," 4,152,882,000.00 ",13.84294
284,4.435470557,0.597535964,10,51%,0.20604496," 3,200,371,000.00 ",10.66790333
285,1.848436875,0.402103904,10,46%,0.277268723," 2,622,834,000.00 ",8.74278
286,1.846717837,0.538253763,35.49097646,100%,0.463062866," 5,241,379,000.00 ",17.47126333
287,1.314828998,0.559434416,10,90%,0.398139615," 147,158,000.00 ",0.490526667
288,2.513494102,0.359630894,10,103%,0.662079548," 1,205,380,000.00 ",4.017933333
289,2.194219343,0.439243935,6.703891956,105%,0.588406459," 47,624,678,000.00 ",158.7489267
290,1.001514902,0.523279948,67.22582858,205%,0.978449898," 2,064,000.00 ",0.00688
291,3.098696462,0.243129219,41.4379316,47%,0.352404849," 1,060,507,000.00 ",3.535023333
292,1.920633302,0.462011073,10,119%,0.639950109," 5,371,261,000.00 ",17.90420333
293,3.296227466,0.267946259,6.341266099,21%,0.152337591," 4,556,806,000.00 ",15.18935333
294,1.924344114,0.470757954,10,99%,0.523171707," 3,871,045,000.00 ",12.90348333
295,3.904176291,0.365869363,60.00904128,109%,0.690643297," 7,881,827,000.00 ",26.27275667
296,1.489069583,0.297004158,15.17099446,23%,0.164265468," 671,181,000.00 ",2.23727
297,4.239964189,0.352113368,16.81699828,69%,0.447333492," 3,387,321,000.00 ",11.29107
