No,LIQUIDEZ,NIVEL DE ENDEUDAMIENTO ,Razón de Cobertura de intereses , Rentabilidad del Patrimonio ,Rentabilidad del Activo,CAPITAL DE TRABAJO,%K
89,63.74353511,0.787468932,10, 1.09 ,0.231852939,1295654000,0.252631752
90,1.654877621,0.570545522,6.471096284, 0.14 ,0.058598817,21821022000,4.254749358
91,2.125298933,0.702585219,24.03185502, 1.24 ,0.368621029,3105142000,0.605452894
92,3.033082524,0.536209396,4.179801331, 0.33 ,0.153925839,4596149000,0.896175349
93,1.698772654,0.880964258,2733.942111, 1.23 ,0.146992773,3916293000,0.763614331
94,5.155712112,0.534393827,10, 0.54 ,0.250884948,2985368000,0.582098885
95,1.813847652,0.61100493,22.50945992, 0.40 ,0.156778697,5862930000,1.143177329
96,4.402870344,0.826381031,15.87936134, 0.27 ,0.046608223,15996315000,3.1190249
97,10.02433825,0.611847028,10.87967869, 0.15 ,0.060095962,15221604000,2.967968679
98,1.526161155,0.598816098,14.69623853, 0.82 ,0.32904829,2025802000,0.394998903
99,2.162381506,0.624469838,7.334320548, 0.08 ,0.029588928,1886143000,0.367767638
100,2.055812128,0.565838862,23.0576579, 0.22 ,0.094731281,7907771000,1.541888532
101,3.316399907,0.672023897,11.04591138, 0.18 ,0.059162377,4770116000,0.930096124
102,21.02393384,0.578483571,10, 0.17 ,0.072712008,2811100000,0.54811942
103,1.624748407,0.512022968,23444.91919, 0.36 ,0.176252449,4172351000,0.813541535
104,2.018240417,0.643505824,11.27080433, 0.90 ,0.322555611,3264547000,0.636534313
105,2.939142817,0.675925925,4.099125001, 0.60 ,0.19573861,52282870000,10.19432122
106,1.623704746,0.537364092,9.729849693, 0.87 ,0.40449474,29617029000,5.774845702
107,2.036132327,0.567264966,10, 0.99 ,0.43041324,1759763000,0.343125565
108,4.509865949,0.613145664,48.18808723, 0.34 ,0.131505232,3274196000,0.638415713
109,1.749585821,0.660973179,14.17408435, 2.77 ,0.939824062,1531553000,0.298628274
110,3.977098294,0.532300236,30.05368323, 0.99 ,0.461072825,5475113000,1.067559233
111,2.05725259,0.683404334,6.779038537, 1.41 ,0.44621642,2237470000,0.436270769
112,1.874326022,0.504435196,8.209623403, 1.16 ,0.576764593,1337314000,0.260754784
113,2.272432784,0.848868,4.821368339, 1.79 ,0.270877329,3777573000,0.736566156
114,10.30386913,0.505215602,41.72310008, 0.10 ,0.04870003,2049233000,0.399567573
115,1.827130768,0.589857052,8.35672258, 0.92 ,0.379236135,6267480000,1.222058092
116,3.26494952,0.516058189,108.515228, 1.53 ,0.741097061,1362195000,0.26560618
117,1.514964041,0.542391124,30724.47059, 0.15 ,0.069817907,2086280000,0.406791143
118,1.596566824,0.649699564,2186.499253, 0.31 ,0.109550721,4770656000,0.930201415
119,1.721322337,0.546266484,5.90960204, 0.60 ,0.272549738,2886059000,0.562735223
120,11.81248665,0.551136159,4.366619696, 0.28 ,0.125213824,5721330000,1.1155676
121,1.845689621,0.749192858,28.37887527, 1.41 ,0.352820913,1181036000,0.23028308
122,17.19355851,0.636545291,10, 0.24 ,0.086411231,37475376000,7.307097347
123,3.103172136,0.501765439,372.0649262, 1.26 ,0.626707863,9289297000,1.811263947
124,1.992052547,0.597669103,6.558695986, 0.25 ,0.102593329,7319200000,1.427126626
125,4.00265542,0.676547835,10, 0.84 ,0.273165774,1082142000,0.211000336
126,1.940592258,0.610882148,4.984969302, 0.53 ,0.205490591,2874734000,0.560527029
127,2.200019667,0.637588506,10, 0.68 ,0.245712959,6321406000,1.232572797
128,1.804830417,0.603841715,23.06601569, 0.66 ,0.262226101,2976749000,0.580418318
129,4.779165067,0.916704627,29.28540245, 2.41 ,0.200968474,14293543000,2.787011667
130,2.82969238,0.535921894,4.618898566, 0.30 ,0.140070649,6711555000,1.308645595
131,9.948172561,0.715628306,7.756117775, 0.57 ,0.161590798,10290130000,2.006410332
132,7.619187262,0.509818144,25.26303079, 0.14 ,0.069293634,1045077000,0.203773256
133,1.775576651,0.781299593,16.63429974, 0.62 ,0.134593682,3496139000,0.681691039
134,1.951040574,0.584844973,7.217159059, 0.52 ,0.215054953,8834952000,1.722673958
135,16.34268992,0.666704949,67.95940502, 0.85 ,0.2845951,1310726000,0.255570551
136,1.612885225,0.588471324,13.07801283, 1.27 ,0.521547763,7692624000,1.499938317
137,3.861692523,0.735535725,5.213334884, 0.67 ,0.178124043,7201123000,1.404103504
138,3.667979119,0.765031704,69.76336898, 0.58 ,0.136187104,6387118000,1.245385583
139,6.377220134,0.606696166,18.08491736, 0.28 ,0.111324379,15456459000,3.013761638
140,7.060367696,0.503278035,7.252712932, 0.44 ,0.216160173,1576338000,0.307360631
141,277.5206501,0.825646074,10, 0.32 ,0.05656872,14528948000,2.832911867
142,5.817543916,0.595950815,17.9428406, 0.98 ,0.395944453,9304956000,1.814317201
143,24.40268364,0.66061019,8.7999622, 0.20 ,0.066766069,1867932000,0.364216785
144,2.547209285,0.582143678,9.437960408, 0.55 ,0.228897267,9895112000,1.929388157
145,7.554787996,0.923411205,10, 2.78 ,0.213254387,4720601000,0.920441493
146,2.928497163,0.583814275,10, 0.22 ,0.08979337,29725350000,5.79596656
147,11.64315492,0.626342707,10, 0.43 ,0.161436073,5524734000,1.077234533
148,7.4476911,0.555971117,12.01452009, 0.41 ,0.183514901,4065237000,0.792656023
149,45.92419946,0.601376053,10, 0.06 ,0.025317694,6369353000,1.241921693
150,1.541896317,0.595334607,12.59700029, 0.66 ,0.268986569,2225055000,0.433850043
151,2.090681907,0.76928636,10, 0.68 ,0.156157938,8898216000,1.735009424
152,3.515627471,0.681711603,10.41342282, 0.63 ,0.200641259,13502799000,2.632829268
153,4.030508902,0.69104008,13.13602386, 0.62 ,0.190243414,21152740000,4.124445084
154,3.980451762,0.57800846,8.620275022, 0.22 ,0.094780013,6449486000,1.257546343
155,2.091183157,0.657964001,10, 0.95 ,0.323498462,3961918000,0.772510475
156,3.662981137,0.518487654,11.15925332, 0.33 ,0.157481917,9490460000,1.850487506
157,23.904924,0.611412104,71.26116141, 0.46 ,0.177561333,2341662000,0.456586538
158,5.052828232,0.775040164,9.979777577, 0.37 ,0.082317181,3846288000,0.749964479
159,11.03296047,0.621185152,10, 0.10 ,0.039639922,64002121000,12.47938723
160,2.860187264,0.580313434,6.746445064, 0.65 ,0.272531898,33746351000,6.579997272
161,2.272521206,0.507013966,7.613437989, 0.34 ,0.168243257,17515907000,3.415320971
162,70.95600561,0.553891933,10.72935238, 0.11 ,0.048735119,6034475000,1.176625853
163,4.154237841,0.743398011,10, 0.64 ,0.165052263,19727862000,3.846616724
164,12.18230748,0.524514311,21.44664008, 0.72 ,0.34339648,2582498000,0.503545696
165,1.603113642,0.5505891,153.1789779, 2.63 ,1.182164776,8435999000,1.644884521
166,4.521461949,0.794291547,16.39898077, 0.43 ,0.087749879,8555670000,1.668218447
167,9.895695691,0.601808333,628.0329626, 1.35 ,0.535980425,6845309000,1.33472548
168,1.711840184,0.598458484,8.260215569, 0.32 ,0.12984494,3111998000,0.606789704
169,3.238821547,0.544924379,8.405541016, 0.28 ,0.126434774,2428396000,0.473498277
170,8.346686154,0.536164838,10, 0.97 ,0.450741419,2644065000,0.515550273
171,7.754585137,0.56988607,10, 0.71 ,0.305344378,16746008000,3.265203013
172,1.682310658,0.542823189,47.10003576, 5.13 ,2.346940517,4376069000,0.853263278
173,10.64102174,0.555828141,6.293852013, 0.32 ,0.144208247,9574383000,1.866851146
174,4.288332105,0.738926796,10, 1.30 ,0.338400565,8923218000,1.739884413
175,34.82360301,0.846028029,86.75528942, 0.25 ,0.03876304,4595985000,0.896143372
176,4.981494605,0.697377641,16.69741855, 0.47 ,0.142830472,15461768000,3.014796808
177,2.102990681,0.665098564,10, 0.55 ,0.18550977,6117622000,1.192838185
178,3.524760045,0.518047643,10, 0.70 ,0.338281639,3335410000,0.650351462
179,2.004966881,0.709456935,9.931378041, 0.99 ,0.288202642,4903555000,0.956114589
180,1.697802851,0.594274476,31.09050407, 0.67 ,0.273087879,1344918000,0.262237442
181,11.28905036,0.64464046,28.45826475, 0.32 ,0.11257968,21891035000,4.26840077
182,4.717968381,0.542183691,11.54625486, 0.51 ,0.232269593,6273856000,1.223301309
183,2.025843111,0.541910236,11.18791619, 0.46 ,0.208859107,4814928000,0.938833745
184,2.041024576,0.695887989,10, 1.56 ,0.475049991,1433368000,0.279483774
185,1.600161709,0.548283148,13.79789322, 0.43 ,0.192682149,1476387000,0.287871789
